ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
69400;"Abja-Paluoja postkontor";1;EE;"Viljandi maakond";"Abja vald";"Abja-Paluoja linn";NULL;"Pärnu maantee";NULL;8;NULL;25.3548298784361;58.1264356146443;"E,T,K,R 8:30-13:00 ja 13:30-16:00;N 8:30-13:00 ja 13:30-18:00;L,P suletud";NULL;NULL;"15.09.15 suletud;lähim Viljandi pk";15.09.2015;;;;;;2015-09-08+03:00
48094;"Adavere postipunkt";1;EE;"Jõgeva maakond";"Põltsamaa vald";"Adavere alevik";NULL;"Tallinna maantee";NULL;6;NULL;25.8996412135384;58.7059373138417;"E-P 9:00-19:00";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-05+03:00
74594;"Aegviidu postipunkt";1;EE;"Harju maakond";"Aegviidu vald";"Aegviidu alev";NULL;"Piibe maantee";NULL;8;NULL;25.6066667074441;59.2883779411755;"E-N 10.00-20.00;R,L 10.00-21.00;P 10.00-20.00";NULL;NULL;NULL;NULL;;;;;;2015-09-03+03:00
63701;"Ahja postkontor";1;EE;"Põlva maakond";"Ahja vald";"Ahja alevik";NULL;"Illimari tänav";NULL;6;NULL;27.0699332100434;58.2069079846627;"E-R 9:00-14:00;L,P suletud";"10.08-24.08.15 suletud;lähim Mooste pk";24.08.2015;NULL;NULL;;;;;;2015-08-10+03:00
73417;"Ahula postkontor";1;EE;"Järva maakond";"Albu vald";"Ahula küla";NULL;NULL;NULL;NULL;NULL;25.7256173980404;59.1089161374288;"E-R 14:00-16:15;L,P suletud";NULL;NULL;"15.09.15 suletud;lähim Järva-Jaani pk";15.09.2015;;;;;;2015-09-04+03:00
12601;"Akadeemia postkontor";1;EE;"Harju maakond";Tallinn;"Mustamäe linnaosa";NULL;"Akadeemia tee";NULL;3;NULL;24.6700186393718;59.3966368563455;"E-R 10:00-17:00;L,P suletud";"20.08.2015 suletud";20.08.2015;NULL;NULL;;;;;;2015-07-30+03:00
68594;"Ala postipunkt";1;EE;"Valga maakond";"Helme vald";"Ala küla";NULL;NULL;"Ala kauplus";NULL;NULL;25.7018989811636;58.009937861375;"E-R 10.00-19.00;L,P 10.00-15.00";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-05+03:00
41014;"Alajõe postipunkt";1;EE;"Ida-Viru maakond";"Alajõe vald";"Alajõe küla";NULL;"Kanarbiku tänav";NULL;1;NULL;27.4337707115092;59.0089843889587;"E-R 11:00-13:00; L,P suletud";NULL;NULL;"22.06.-24.06.2015 suletud";24.06.2015;;;;;;2015-06-15+03:00
60200;"Alatskivi postkontor";1;EE;"Tartu maakond";"Alatskivi vald";"Alatskivi alevik";NULL;"Tartu maantee";NULL;3;NULL;27.1348450791766;58.601973806618;"E-R 9:00-11:30 ja 12:00-15:30;L,P suletud";"Avatud 14.09.15, 16.09.15, 18.09.15 ja 01.10.15;lähim Koosa pk";01.10.2015;"15.09.-02.10.15 suletud v.a eelpool märgitud päevad;lähim Kallaste pk";02.10.2015;;;;;;2015-09-14+03:00
74494;"Alavere postipunkt";1;EE;"Harju maakond";"Anija vald";"Alavere küla";NULL;NULL;NULL;NULL;NULL;25.3284436360916;59.2452274261914;"E-L 10:00-19:00; P 10:00-17:00";NULL;NULL;"20.08.2015 avatud 10.00-17.00";20.08.2015;;;;;;2015-08-11+03:00
79696;"Alu postipunkt";1;EE;"Rapla maakond";"Rapla vald";"Alu alevik";NULL;"Keskuse tee";NULL;3;NULL;24.7627587129265;59.0222258393592;"E-L 10:00-20:00; P 10:00-19:00";NULL;NULL;"20.08.2015 suletud";20.08.2015;;;;;;2015-08-11+03:00
